UKPRN,HE Provider,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cameroon,Cape Verde,Central African Republic,Chad,Comoros,Congo,Congo (Democratic Republic) {formerly Zaire},Djibouti,Egypt,Equatorial Guinea,Eritrea,Ethiopia,Gabon,"Gambia, The",Ghana,Guinea,Guinea-Bissau,Ivory Coast,Kenya,Kingdom of eSwatini,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome And Principe,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,South Sudan,"St Helena, Ascension and Tristan da Cunha",Sudan,Swaziland,Tanzania,Togo,Tunisia,Uganda,Western Sahara,Zambia,Zimbabwe,Africa not otherwise specified,Total Africa,Total
10008071,AA School of Architecture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,870
10007783,The University of Aberdeen,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,85,0,0,5,20,0,0,0,15,0,0,0,0,0,0,0,5,0,180,5,0,0,0,0,0,5,0,0,5,0,10,0,0,10,0,0,5,0,380,"4,825"
10007849,Abertay University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,645
10007856,Aberystwyth University,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,15,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,5,0,45,"1,420"
10067853,ACM Guildford Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
10000248,Academy of Live and Recorded Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
10000163,AECC University College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,285
10032036,Amity Global Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000291,Anglia Ruskin University,5,10,0,0,0,0,5,0,0,0,0,0,0,0,45,0,0,0,0,0,40,0,0,5,30,0,0,5,5,0,0,0,0,5,25,5,5,0,310,5,0,0,0,5,0,15,0,0,10,0,5,0,5,5,0,10,60,0,630,"6,350"
10005451,Arden University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25
10000381,Arts Educational Schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
10008899,The Ashridge (Bonar Law Memorial) Trust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
10003212,Hult International Business School Ltd,10,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,5,0,0,5,0,0,5,5,0,0,0,0,5,0,0,0,0,15,5,0,0,30,0,0,5,0,0,0,10,0,0,0,0,0,0,10,0,0,0,5,0,145,"1,515"
10007759,Aston University,5,5,0,10,0,0,5,0,0,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,0,0,275,0,0,0,0,0,0,5,0,0,5,0,15,0,0,5,0,0,5,0,390,"2,655"
10007857,Bangor University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,15,0,0,0,5,0,0,0,5,0,0,0,0,0,5,0,0,0,65,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,125,"1,845"
10000571,Bath Spa University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,20,625
10007850,The University of Bath,5,0,0,5,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,15,0,0,0,20,0,0,0,0,0,5,0,0,15,15,0,5,0,50,0,0,0,0,0,0,15,0,0,5,0,5,0,0,0,0,0,0,0,215,"4,905"
10007152,University of Bedfordshire,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,15,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,0,320,"6,810"
10005343,Queen's University Belfast,0,0,0,5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,10,0,0,0,10,0,0,0,5,0,0,0,0,5,5,0,0,0,45,0,0,0,0,0,0,5,0,0,5,0,0,0,0,5,0,5,5,0,125,"4,985"
10037544,BIMM University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,960
10007760,Birkbeck College,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,15,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,0,0,0,75,"1,555"
10007140,Birmingham City University,0,5,0,0,0,0,5,0,0,0,0,0,0,0,30,0,0,0,0,5,35,0,0,0,20,0,0,0,5,0,0,0,0,0,5,0,0,0,495,5,0,0,0,5,0,10,0,0,0,0,20,0,0,0,0,5,25,0,685,"4,325"
10006840,The University of Birmingham,5,5,0,15,0,0,5,0,0,0,0,0,0,0,50,0,0,5,0,5,40,0,0,10,45,0,0,0,10,0,5,0,0,15,5,0,0,0,255,0,0,0,0,5,0,25,0,0,10,0,15,0,0,20,0,15,15,0,600,"9,530"
10000712,University College Birmingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,"1,470"
10007832,Birmingham Newman University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
10000894,Bristol Baptist College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10007811,Bishop Grosseteste University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,35
10004061,Bloomsbury Institute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
10006841,The University of Bolton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,65,"1,235"
10000385,The Arts University Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,575
10000824,Bournemouth University,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,20,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,5,0,310,0,0,0,0,5,0,20,0,0,5,0,0,0,0,5,0,5,5,0,420,"2,695"
10031982,BPP University,5,0,0,5,0,0,15,0,0,0,0,0,0,0,5,0,0,0,0,0,50,0,0,0,15,0,0,0,0,0,5,0,0,30,5,0,0,0,195,5,0,0,0,5,0,15,0,0,0,0,10,0,0,5,0,5,5,20,405,"6,605"
10007785,The University of Bradford,5,0,0,10,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,5,25,0,0,0,15,0,0,0,10,0,5,0,0,0,0,0,0,0,250,0,0,0,0,5,0,5,0,0,5,0,5,0,0,5,0,5,10,0,380,"1,815"
