UKPRN,HE Provider,Afghanistan,Bangladesh,Bhutan,Brunei,Cambodia,China,East Timor,Hong Kong (Special Administrative Region of China),India,Indonesia,Japan,Kazakhstan,Korea (North),Korea (South),Kyrgyzstan,Laos,Macao (Special Administrative Region of China),Malaysia,Maldives,Myanmar (Burma),Mongolia,Nepal,Pakistan,Philippines,Singapore,Sri Lanka,Taiwan,Tajikistan,Thailand,Turkmenistan,Uzbekistan,Vietnam,Asia (Except Middle East) not otherwise specified,Total Asia,Total
10008071,AA School of Architecture,0,0,0,0,0,230,0,40,55,5,5,5,0,55,0,0,0,15,0,0,0,0,5,0,15,0,20,0,15,0,0,0,0,460,870
10007783,The University of Aberdeen,0,35,0,10,0,"1,035",0,30,145,30,5,20,0,10,0,0,0,55,0,5,0,0,25,0,30,25,5,0,40,0,0,10,0,"1,535","4,825"
10007849,Abertay University,0,0,0,0,0,35,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,645
10007856,Aberystwyth University,0,5,0,5,0,105,0,5,25,0,5,0,0,10,0,0,0,45,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,220,"1,420"
10067853,ACM Guildford Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
10000248,Academy of Live and Recorded Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
10000163,AECC University College,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,285
10032036,Amity Global Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000291,Anglia Ruskin University,0,15,0,0,0,175,0,60,"1,965",5,10,20,0,20,5,0,5,30,0,0,0,10,20,40,10,10,20,0,35,0,50,15,0,"2,515","6,350"
10005451,Arden University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25
10000381,Arts Educational Schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
10008899,The Ashridge (Bonar Law Memorial) Trust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,75
10003212,Hult International Business School Ltd,0,0,0,0,5,40,0,0,80,15,15,10,0,0,0,0,0,0,0,0,5,0,5,15,5,0,5,0,5,0,0,5,0,215,"1,515"
10007759,Aston University,0,25,0,0,0,680,0,45,370,15,25,10,0,15,0,0,5,15,0,5,0,5,55,5,10,5,20,0,30,0,5,55,0,"1,400","2,655"
10007857,Bangor University,0,70,0,0,0,430,0,25,135,5,20,0,0,0,0,0,0,20,0,0,0,15,60,0,10,5,0,0,5,0,0,10,0,815,"1,845"
10000571,Bath Spa University,0,0,0,0,0,65,0,10,105,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,215,625
10007850,The University of Bath,0,0,0,5,0,875,0,315,405,25,40,15,0,20,0,0,10,190,5,10,0,5,20,5,80,5,70,0,120,0,0,25,0,"2,255","4,905"
10007152,University of Bedfordshire,0,140,0,0,0,240,0,10,"2,940",0,0,0,0,0,0,0,0,0,0,0,0,50,245,0,0,15,0,0,0,0,0,30,0,"3,695","6,810"
10005343,Queen's University Belfast,0,20,0,10,5,"1,910",0,75,440,85,10,5,0,20,0,0,5,270,0,20,0,5,60,5,60,15,5,0,15,0,0,15,0,"3,045","4,985"
10037544,BIMM University,0,0,0,0,0,10,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,40,960
10007760,Birkbeck College,5,5,0,0,5,100,0,20,50,10,20,5,0,15,0,0,0,10,0,0,0,5,25,5,10,5,15,0,5,0,5,10,0,325,"1,555"
10007140,Birmingham City University,5,70,0,5,0,555,0,40,"1,600",10,5,0,0,10,0,0,0,55,0,0,0,15,220,15,5,25,25,0,10,0,0,25,0,"2,710","4,325"
10006840,The University of Birmingham,5,40,0,5,0,"4,650",0,400,275,90,55,15,0,115,0,0,5,120,5,5,5,0,45,5,145,25,60,0,40,0,0,20,0,"6,130","9,530"
10000712,University College Birmingham,0,0,0,15,0,125,0,35,165,5,5,0,0,5,0,0,0,30,0,0,0,10,5,0,5,0,5,0,5,0,0,5,0,420,"1,470"
10007832,Birmingham Newman University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
10000894,Bristol Baptist College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
