UKPRN,HE Provider,Anguilla,Antigua and Barbuda,Aruba,"Bahamas, The",Barbados,Belize,Bermuda,"Bonaire, Sint Eustatius and Saba",British Virgin Islands,Canada,Caribbean not otherwise specified,Cayman Islands,Central America not otherwise specified,Costa Rica,Cuba,Curaçao,Dominica,Dominican Republic,El Salvador,Greenland,Grenada,Guatemala,Haiti,Honduras,Jamaica,Mexico,Montserrat,Nicaragua,Panama,Puerto Rico,Sint Maarten (Dutch part),St Barthélemy,St Kitts and Nevis,St Lucia,St Martin (French Part),St Pierre And Miquelon,St Vincent and The Grenadines,Trinidad and Tobago,Turks and Caicos Islands,United States,United States Virgin Islands,North America not otherwise specified,Total North America,Total
10008071,AA School of Architecture,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,40,910
10007783,The University of Aberdeen,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,5,0,290,0,0,370,"4,690"
10007849,Abertay University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,35,600
10007856,Aberystwyth University,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,125,0,0,145,"1,345"
10067853,ACM Guildford Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
10000163,AECC University College,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,320
10032036,Amity Global Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10000291,Anglia Ruskin University,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,120,"7,170"
10005451,Arden University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,70
10000381,Arts Educational Schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,45
