UKPRN,HE Provider,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Falkland Islands,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela,South America not otherwise specified,Total South America,Total
10008071,AA School of Architecture,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,910
10007783,The University of Aberdeen,5,0,5,5,5,0,0,5,0,0,0,0,0,0,25,"4,690"
10007849,Abertay University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600
10007856,Aberystwyth University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"1,345"
10067853,ACM Guildford Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
10000163,AECC University College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320
10032036,Amity Global Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10000291,Anglia Ruskin University,0,0,5,0,5,0,0,0,0,0,0,0,0,0,15,"7,170"
10005451,Arden University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
10000381,Arts Educational Schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
10008899,The Ashridge (Bonar Law Memorial) Trust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
10003212,Hult International Business School Ltd,5,0,40,5,10,5,0,0,0,5,0,0,5,0,75,"1,515"
10007759,Aston University,0,0,0,0,5,0,0,0,0,5,0,0,0,0,15,"3,065"
10007857,Bangor University,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,"2,325"
10000571,Bath Spa University,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,550
10007850,The University of Bath,0,0,10,0,0,0,0,0,0,5,0,0,0,0,30,"4,765"
10007152,University of Bedfordshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"6,035"
10005343,Queen's University Belfast,5,0,5,0,5,5,0,0,0,5,0,0,0,0,30,"5,175"
10037544,BIMM University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,780
10007760,Birkbeck College,5,0,25,5,5,0,0,0,0,10,0,0,0,0,50,"1,410"
