ukprn,he_provider,year,country,students,school_lat,school_lon,country_lat,country_lon
10008071.0,AA School of Architecture,2020/2021,austria,5,9.0129509,38.729008,47.59397,14.12456
10007783.0,The University of Aberdeen,2020/2021,austria,20,57.1639306,-2.100875776271873,47.59397,14.12456
10007849.0,Abertay University,2020/2021,austria,5,56.4631526,-2.97467889452203,47.59397,14.12456
10000291.0,Anglia Ruskin University,2020/2021,austria,5,52.20338815,0.1350225704824107,47.59397,14.12456
10000381.0,Arts Educational Schools,2020/2021,austria,5,41.3111716,-72.92033833188512,47.59397,14.12456
10003212.0,Hult International Business School Ltd,2020/2021,austria,30,0.0,0.0,47.59397,14.12456
10007759.0,Aston University,2020/2021,austria,10,52.48619045,-1.888468930261664,47.59397,14.12456
10007857.0,Bangor University,2020/2021,austria,5,53.2300234,-4.13008199555879,47.59397,14.12456
10000571.0,Bath Spa University,2020/2021,austria,5,51.374858,-2.438714578176041,47.59397,14.12456
10007850.0,The University of Bath,2020/2021,austria,25,43.674218,-79.3995879,47.59397,14.12456
10005343.0,Queen's University Belfast,2020/2021,austria,5,54.5842881,-5.933656245995208,47.59397,14.12456
10037544.0,BIMM University,2020/2021,austria,10,51.4795566,-0.1960698,47.59397,14.12456
10007760.0,Birkbeck College,2020/2021,austria,5,51.52184485,-0.130215506706738,47.59397,14.12456
10006840.0,The University of Birmingham,2020/2021,austria,15,52.4350159,-1.947159562796694,47.59397,14.12456
10000385.0,The Arts University Bournemouth,2020/2021,austria,5,50.7418816,-1.8976735,47.59397,14.12456
10000824.0,Bournemouth University,2020/2021,austria,5,50.7230558,-1.864860039740045,47.59397,14.12456
10031982.0,BPP University,2020/2021,austria,5,51.50537905,-0.2233795030670667,47.59397,14.12456
10000886.0,The University of Brighton,2020/2021,austria,5,0.0,0.0,47.59397,14.12456
10007786.0,The University of Bristol,2020/2021,austria,15,51.50076785,-2.5503106339491204,47.59397,14.12456
10000961.0,Brunel University London,2020/2021,austria,5,51.5326092,-0.4740498907267291,47.59397,14.12456
10000975.0,Buckinghamshire New University,2020/2021,austria,5,51.62782205,-0.75343598276741,47.59397,14.12456
10007787.0,The University of Buckingham,2020/2021,austria,5,52.0244524,-0.7378417452243633,47.59397,14.12456
10007788.0,The University of Cambridge,2020/2021,austria,65,52.1867003,0.1365079636390316,47.59397,14.12456
10007814.0,Cardiff University,2020/2021,austria,10,51.4876641,-3.17916036266798,47.59397,14.12456
10007141.0,The University of Central Lancashire,2020/2021,austria,10,0.0,0.0,47.59397,14.12456
10007848.0,University of Chester,2020/2021,austria,5,53.20026425,-2.899318862131976,47.59397,14.12456
10001478.0,"City, University of London",2020/2021,austria,45,51.527658200000005,-0.103524473356483,47.59397,14.12456
10007761.0,Courtauld Institute of Art,2020/2021,austria,5,51.51149315,-0.1177288758263113,47.59397,14.12456
10001726.0,Coventry University,2020/2021,austria,10,52.4056372,-1.4997222676795412,47.59397,14.12456
10007822.0,Cranfield University,2020/2021,austria,5,52.0701329,-0.6287023427161589,47.59397,14.12456
10007842.0,University of Cumbria,2020/2021,austria,5,54.8908157,-2.9223991,47.59397,14.12456
10001883.0,De Montfort University,2020/2021,austria,5,52.63047175,-1.1402281049813487,47.59397,14.12456
