ukprn,he_provider,year,country,students
10008071,AA School of Architecture,2020/2021,austria,5
10007783,The University of Aberdeen,2020/2021,austria,20
10007849,Abertay University,2020/2021,austria,5
10000291,Anglia Ruskin University,2020/2021,austria,5
10000381,Arts Educational Schools,2020/2021,austria,5
10003212,Hult International Business School Ltd,2020/2021,austria,30
10007759,Aston University,2020/2021,austria,10
10007857,Bangor University,2020/2021,austria,5
10000571,Bath Spa University,2020/2021,austria,5
10007850,The University of Bath,2020/2021,austria,25
10005343,Queen's University Belfast,2020/2021,austria,5
10037544,BIMM University,2020/2021,austria,10
10007760,Birkbeck College,2020/2021,austria,5
10006840,The University of Birmingham,2020/2021,austria,15
10000385,The Arts University Bournemouth,2020/2021,austria,5
10000824,Bournemouth University,2020/2021,austria,5
10031982,BPP University,2020/2021,austria,5
10000886,The University of Brighton,2020/2021,austria,5
10007786,The University of Bristol,2020/2021,austria,15
10000961,Brunel University London,2020/2021,austria,5
10000975,Buckinghamshire New University,2020/2021,austria,5
10007787,The University of Buckingham,2020/2021,austria,5
10007788,The University of Cambridge,2020/2021,austria,65
10007814,Cardiff University,2020/2021,austria,10
10007141,The University of Central Lancashire,2020/2021,austria,10
10007848,University of Chester,2020/2021,austria,5
10001478,"City, University of London",2020/2021,austria,45
10007761,Courtauld Institute of Art,2020/2021,austria,5
10001726,Coventry University,2020/2021,austria,10
10007822,Cranfield University,2020/2021,austria,5
10007842,University of Cumbria,2020/2021,austria,5
10001883,De Montfort University,2020/2021,austria,5
10007851,University of Derby,2020/2021,austria,15
10007852,The University of Dundee,2020/2021,austria,10
10007143,University of Durham,2020/2021,austria,25
10007789,The University of East Anglia,2020/2021,austria,5
10007144,The University of East London,2020/2021,austria,5
10007772,Edinburgh Napier University,2020/2021,austria,15
10007790,The University of Edinburgh,2020/2021,austria,90
10007791,The University of Essex,2020/2021,austria,30
10007792,The University of Exeter,2020/2021,austria,35
10007762,Glasgow Caledonian University,2020/2021,austria,10
10007794,The University of Glasgow,2020/2021,austria,60
10007145,University of Gloucestershire,2020/2021,austria,5
10002718,Goldsmiths College,2020/2021,austria,15
10007146,The University of Greenwich,2020/2021,austria,10
10007825,Guildhall School of Music and Drama,2020/2021,austria,5
10007764,Heriot-Watt University,2020/2021,austria,15
10007147,University of Hertfordshire,2020/2021,austria,5
10003270,"Imperial College of Science, Technology and Medicine",2020/2021,austria,60
10013220,Institute of Art - London Limited,2020/2021,austria,5
10007767,Keele University,2020/2021,austria,5
10007150,The University of Kent,2020/2021,austria,10
10003645,King's College London,2020/2021,austria,95
10003678,Kingston University,2020/2021,austria,15
10007768,The University of Lancaster,2020/2021,austria,10
10003854,Leeds Arts University,2020/2021,austria,5
10003861,Leeds Beckett University,2020/2021,austria,5
10007795,The University of Leeds,2020/2021,austria,15
10007796,The University of Leicester,2020/2021,austria,5
10003957,Liverpool John Moores University,2020/2021,austria,5
10006842,The University of Liverpool,2020/2021,austria,5
10007162,"University of the Arts, London",2020/2021,austria,60
10007769,London Business School,2020/2021,austria,20
10007797,University of London (Institutes and activities),2020/2021,austria,10
10039082,City and Guilds of London Art School,2020/2021,austria,5
10004078,London South Bank University,2020/2021,austria,5
10004063,London School of Economics and Political Science,2020/2021,austria,70
10004113,Loughborough University,2020/2021,austria,10
10004180,The Manchester Metropolitan University,2020/2021,austria,5
10007798,The University of Manchester,2020/2021,austria,35
10009527,Istituto Marangoni Limited,2020/2021,austria,5
10004351,Middlesex University,2020/2021,austria,5
10007799,Newcastle University,2020/2021,austria,10
10048199,Northeastern University London,2020/2021,austria,5
10007138,The University of Northampton,2020/2021,austria,5
10001282,University of Northumbria at Newcastle,2020/2021,austria,5
10007154,University of Nottingham,2020/2021,austria,15
10004797,The Nottingham Trent University,2020/2021,austria,5
10004930,Oxford Brookes University,2020/2021,austria,10
10007774,The University of Oxford,2020/2021,austria,90
10007801,University of Plymouth,2020/2021,austria,5
10007155,The University of Portsmouth,2020/2021,austria,10
10005337,"Queen Margaret University, Edinburgh",2020/2021,austria,10
10007775,Queen Mary University of London,2020/2021,austria,35
10007802,The University of Reading,2020/2021,austria,5
10086591,Regent's University London Limited,2020/2021,austria,10
10005500,Robert Gordon University,2020/2021,austria,5
10007777,Royal College of Art,2020/2021,austria,10
10007778,Royal College of Music,2020/2021,austria,5
10005561,Royal Conservatoire of Scotland,2020/2021,austria,5
10005553,Royal Holloway and Bedford New College,2020/2021,austria,10
10007803,The University of St. Andrews,2020/2021,austria,50
10007780,SOAS University of London,2020/2021,austria,20
10007157,The University of Sheffield,2020/2021,austria,15
10007158,The University of Southampton,2020/2021,austria,10
10006299,Staffordshire University,2020/2021,austria,5
10007804,The University of Stirling,2020/2021,austria,10
10007805,The University of Strathclyde,2020/2021,austria,10
10007160,The University of Surrey,2020/2021,austria,10
10007806,The University of Sussex,2020/2021,austria,20
10007855,Swansea University,2020/2021,austria,10
10007161,Teesside University,2020/2021,austria,5
10007858,University of Wales Trinity Saint David,2020/2021,austria,5
10007114,University of the Highlands and Islands,2020/2021,austria,10
10039956,The University of Law,2020/2021,austria,5
10007784,University College London,2020/2021,austria,105
10007793,University of South Wales,2020/2021,austria,5
10007163,The University of Warwick,2020/2021,austria,45
10007164,"University of the West of England, Bristol",2020/2021,austria,5
10007800,The University of the West of Scotland,2020/2021,austria,5
10006566,The University of West London,2020/2021,austria,15
10007165,The University of Westminster,2020/2021,austria,25
10007166,The University of Wolverhampton,2020/2021,austria,5
10007833,Wrexham University,2020/2021,austria,5
10007167,The University of York,2020/2021,austria,20
10008071,AA School of Architecture,2020/2021,belgium,5
10007783,The University of Aberdeen,2020/2021,belgium,35
10007849,Abertay University,2020/2021,belgium,5
10007856,Aberystwyth University,2020/2021,belgium,10
10000163,AECC University College,2020/2021,belgium,10
10000291,Anglia Ruskin University,2020/2021,belgium,10
10003212,Hult International Business School Ltd,2020/2021,belgium,20
10007759,Aston University,2020/2021,belgium,15
10007857,Bangor University,2020/2021,belgium,10
10000571,Bath Spa University,2020/2021,belgium,10
10007850,The University of Bath,2020/2021,belgium,65
10007152,University of Bedfordshire,2020/2021,belgium,5
10005343,Queen's University Belfast,2020/2021,belgium,5
10037544,BIMM University,2020/2021,belgium,10
10007760,Birkbeck College,2020/2021,belgium,15
10007140,Birmingham City University,2020/2021,belgium,10
10006840,The University of Birmingham,2020/2021,belgium,30
10000712,University College Birmingham,2020/2021,belgium,5
10006841,The University of Bolton,2020/2021,belgium,10
10000385,The Arts University Bournemouth,2020/2021,belgium,10
10000824,Bournemouth University,2020/2021,belgium,5
10031982,BPP University,2020/2021,belgium,15
10007785,The University of Bradford,2020/2021,belgium,5
10000886,The University of Brighton,2020/2021,belgium,25
10007786,The University of Bristol,2020/2021,belgium,40
