ukprn,he_provider,year,country,students,school_lat,school_lon
10007783.0,The University of Aberdeen,2020/2021,austria,20,57.1639306,-2.100875776271873
10007849.0,Abertay University,2020/2021,austria,5,56.4631526,-2.97467889452203
10000291.0,Anglia Ruskin University,2020/2021,austria,5,52.20338815,0.1350225704824107
10007759.0,Aston University,2020/2021,austria,10,52.48619045,-1.888468930261664
10007857.0,Bangor University,2020/2021,austria,5,53.2300234,-4.13008199555879
10000571.0,Bath Spa University,2020/2021,austria,5,51.374858,-2.438714578176041
10005343.0,Queen's University Belfast,2020/2021,austria,5,54.5842881,-5.933656245995208
10037544.0,BIMM University,2020/2021,austria,10,51.4795566,-0.1960698
10007760.0,Birkbeck College,2020/2021,austria,5,51.52184485,-0.13021550670673807
10006840.0,The University of Birmingham,2020/2021,austria,15,52.435015899999996,-1.947159562796694
10000385.0,The Arts University Bournemouth,2020/2021,austria,5,50.7418816,-1.8976735
10000824.0,Bournemouth University,2020/2021,austria,5,50.7226231,-1.8641233438403426
10031982.0,BPP University,2020/2021,austria,5,51.50537905,-0.22337950306706675
10007786.0,The University of Bristol,2020/2021,austria,15,51.50076785,-2.5503106339491204
10000961.0,Brunel University London,2020/2021,austria,5,51.5326092,-0.47404989072672915
10000975.0,Buckinghamshire New University,2020/2021,austria,5,51.62782205,-0.75343598276741
10007787.0,The University of Buckingham,2020/2021,austria,5,52.0244524,-0.7378417452243633
10007788.0,The University of Cambridge,2020/2021,austria,65,52.1867003,0.13650796363903167
10007814.0,Cardiff University,2020/2021,austria,10,51.4886911,-3.1794825
10007848.0,University of Chester,2020/2021,austria,5,53.200264250000004,-2.8993188621319756
10001478.0,"City, University of London",2020/2021,austria,45,51.527658200000005,-0.10352447335648303
10007761.0,Courtauld Institute of Art,2020/2021,austria,5,51.51149315,-0.11772887582631139
10001726.0,Coventry University,2020/2021,austria,10,52.4056372,-1.4997222676795412
10007822.0,Cranfield University,2020/2021,austria,5,52.070132900000004,-0.6287023427161589
10007842.0,University of Cumbria,2020/2021,austria,5,54.8908157,-2.9223991
10001883.0,De Montfort University,2020/2021,austria,5,52.63047175,-1.1402281049813487
10007851.0,University of Derby,2020/2021,austria,15,52.937954700000006,-1.497999105195924
10007852.0,The University of Dundee,2020/2021,austria,10,56.45796755,-2.9821483135375493
10007143.0,University of Durham,2020/2021,austria,25,54.7743725,-1.5766714
10007789.0,The University of East Anglia,2020/2021,austria,5,52.62106225,1.2356187242525833
10007144.0,The University of East London,2020/2021,austria,5,51.5075713,0.0641476
10007772.0,Edinburgh Napier University,2020/2021,austria,15,55.93110635,-3.2093902303057424
10007790.0,The University of Edinburgh,2020/2021,austria,90,55.948366449999995,-3.185681320007981
10007791.0,The University of Essex,2020/2021,austria,30,51.538100850000006,0.7123974191663069
10007762.0,Glasgow Caledonian University,2020/2021,austria,10,55.86746635,-4.250245389417843
10007794.0,The University of Glasgow,2020/2021,austria,60,55.873419049999995,-4.289052856658881
10007145.0,University of Gloucestershire,2020/2021,austria,5,51.8731804,-2.2239706215311656
10002718.0,Goldsmiths College,2020/2021,austria,15,51.473283949999995,-0.03662674755260884
10007825.0,Guildhall School of Music and Drama,2020/2021,austria,5,51.5195225,-0.09237473454516612
10007764.0,Heriot-Watt University,2020/2021,austria,15,55.91029585,-3.323447514558347
10007147.0,University of Hertfordshire,2020/2021,austria,5,51.75174425,-0.23904979445944738
10007767.0,Keele University,2020/2021,austria,5,53.0016756,-2.270694218876779
10007150.0,The University of Kent,2020/2021,austria,10,51.29508745,1.0673312821552285
10003645.0,King's College London,2020/2021,austria,95,51.50308545,-0.09000212114826903
10003678.0,Kingston University,2020/2021,austria,15,51.403073899999995,-0.3032181426130893
10007768.0,The University of Lancaster,2020/2021,austria,10,54.009842899999995,-2.787576781958986
10003854.0,Leeds Arts University,2020/2021,austria,5,53.808804949999995,-1.5511542789300523
10003861.0,Leeds Beckett University,2020/2021,austria,5,53.826144150000005,-1.5933537200236456
10007795.0,The University of Leeds,2020/2021,austria,15,53.8430407,-1.58866989583375
10007796.0,The University of Leicester,2020/2021,austria,5,52.608264899999995,-1.081000558579433
10003957.0,Liverpool John Moores University,2020/2021,austria,5,53.41238439999999,-2.980926958955171
10007162.0,"University of the Arts, London",2020/2021,austria,60,51.51768525,-0.11633584389344499
10007769.0,London Business School,2020/2021,austria,20,51.5263869,-0.16115218526181216
